author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Foekema et al.,Marine,Justine,2013,Atlantic: Northeast,North Sea,Melanogrammus aeglefinus,Adult,Gadidae,Haddock,Melanogrammus,Demersal,Temperate,Vulnerable,mainly animals,hunting macrofauna,4,,28.1,192,,97,Grand Ouverture Verticale trawl,200,None,KOH,Visual,FTIR,yes,no,,6,,,,,,yes,,,yes,
Foekema et al.,Marine,Justine,2013,Atlantic: Northeast,North Sea,Merlangius merlangus,Adult,Gadidae,Whiting,Merlangius,Benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,32.1,306,,105,Grand Ouverture Verticale trawl,200,None,KOH,Visual,FTIR,yes,no,,6,,,,,,yes,,,yes,
Foekema et al.,Marine,Justine,2013,Atlantic: Northeast,North Sea,Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,20.9,79,,100,Grand Ouverture Verticale trawl,200,None,KOH,Visual,FTIR,yes,no,,1,,,,,,yes,,,yes,
Gago et al.,Marine,Garth,2020,Atlantic: Eastern Central,North Atlantic waters near Madeira Islands (Portugal) ,Alepisaurus ferox,Adult,Alepisauridae,Long snouted lancetfish,Alepisaurus,Bathypelagic,Deep-water,Least Concern,mainly animals,hunting macrofauna,4,,126.15,5042,,27,Gillnet,50,None,KOH,Visual,None,no,yes,,74,4.7,4.8,,,yes,no,,Black,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Sciades proops,Adult,Ariidae,Crucifix sea catfish,Sciades,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.4,,24,470,,2,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Notarius bonillai,Adult,Ariidae,New Granada sea catfish,Notarius,Demersal,Tropical,Endangered,,,4.1,,27,390,,13,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,7.692307692,0.076923077,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Cathorops mapale,Adult,Ariidae,,Cathorops,Demersal,Tropical,Not Evaluated,,,4.4,,20,120,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Trachelyopterus insignis,Adult,Auchenipteridae,Chivo,Trachelyopterus,Demersal,Tropical,Least Concern,,,3.5,,16,70,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Cynoscion virescens,Adult,Sciaenidae,Green weakfish,Cynoscion,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,4,,13,53,,3,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Tylosurus acus,Adult,Belonidae,Agujon needlefish,Tylosurus,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.5,,43,240,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Caranx hippos,Adult,Carangidae,Crevalle jack,Caranx,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.6,,15,51,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,2,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Elops saurus,Adult,Elopiformes,Ladyfish,Elops,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,23,154,,7,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,14.28571429,0.428571429,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Epinephelus itajara,Adult,Serranidae,Atlantic goliath grouper,Epinephelus,Reef-associated,Subtropical,Critically Endangered,mainly animals,hunting macrofauna,4.1,,38,780,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Caquetaia kraussii,Adult,Cichlidae,Mojarra,Caquetaia,Demersal,Tropical,,mainly animals,hunting macrofauna,3.4,,15,89,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Trachinotus blochii,Adult,Carangidae,Snubnose pompano,Trachinotus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.7,,14,100,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Centropomus undecimalis,Adult,Centropomidae,Common snook,Centropomus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.2,,29,426,,33,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,3.03030303,0.03030303,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Centropomus pectinatus,Adult,Centropomidae,Tarpon snook,Centropomus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4,,19,100,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,5,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Centropomus ensiferus,Adult,Centropomidae,Swordspine snook,Centropomus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.2,,19,114,,10,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Megalops atlanticus,Adult,Megalopidae,Tarpon snook,Megalops,Reef-associated,Subtropical,Vulnerable,mainly animals,hunting macrofauna,4.5,,31,543,,20,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,35,0.7,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Mugil curema,Adult,Mugilidae,White mullet,Mugil,Reef-associated,Subtropical,Least Concern,mainly plants/detritus,grazing on aquatic plants,2,,27,130,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Mugil liza,Adult,Mugilidae,Lebranche mullet,Mugil,Demersal,Subtropical,Data deficient,mainly plants/detritus,grazing on aquatic plants,2,,42,620,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Mugil incilis,Adult,Mugilidae,Parassi mullet,Mugil,Demersal,Tropical,Least Concern,mainly plants/detritus,grazing on aquatic plants,2,,21,193,,128,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,5.46875,0.2734375,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Eugerres plumieri,Adult,Gerreidae,Striped mojarra,Eugerres,Demersal,Subtropical,Least Concern,mainly plants/detritus,other,2.2,,13,103,,14,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Caranx latus,Adult,Carangidae,Horse-eye jack,Caranx,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.2,,14,87,,3,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,33.33333333,2.666666667,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Eucinostomus argenteus,Adult,Gerreidae,Flagfin mojarra,Eucinostomus,Demersal,Subtropical,Least Concern,mainly animals,variable,3.2,,14,300,,1,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,,0,,,,,,,,no,
Garcés-Ordóñez et al.,Marine,Garth,2020,Atlantic: Western Central,Columbian Carribean Sea,Megalops atlanticus,Adult,Megalopidae,Tarpon snook,Megalops,Reef-associated,Subtropical,Vulnerable,mainly animals,hunting macrofauna,4.5,,27,297,,53,Gillnet,150,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,no,
Garcia-Garin et al.,Marine,Garth,2019,Mediterranean and Black Sea,Catalan coast (Spain),Boops boops,Adult,Sparidae,Bogue,Boops,Demersal,Subtropical,Least Concern,mainly animals,selective plankton feeding,2.8,,210.83,118.82,7.65,102,"Trawl, purse seine, and trammel net",1.2,None,H2O2,Visual,FTIR,yes,yes,,46,0.9,1.34,,,no,yes,Polypropylene,Blue,no,
Garnier et al.,Marine,Hailey,2019,Pacific: Eastern Central,Moorea Island,Cheilopogon simus,Adult,Exocoetidae,Short-nosed flyingfish,Cheilopogon,Pelagic-neritic,Tropical,Not Evaluated,mainly animals,selective plankton feeding,4,25.1,,,4.34,34,Local Fisherman,20,NaCl,H2O2,Visual,None,no,yes,,18,0.24,0.13,,,no,yes,,,yes,"recognizable textile fibers excluded, standard length"
Garnier et al.,Marine,Hailey,2019,Pacific: Eastern Central,Moorea Island,Epinephelus merra,Adult,Serranidae,Honeycomb grouper,Epinephelus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.8,18,,,4.44,33,Local Fisherman,20,NaCl,H2O2,Visual,None,no,yes,,30,0.39,0.14,,,no,yes,,,yes,"recognizable textile fibers excluded, standard length"
Giani et al.,Marine,Hailey,2019,Mediterranean and Black Sea,Mediterranean Sea,Merluccius merluccius,Adult,Merlucciidae,European hake,Merluccius,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,28.57,186.29,,97,Trawls,100,None,KOH,Visual,None,no,yes,,26.8,1.38,,,,yes,yes,,Blue,no,
Giani et al.,Marine,Hailey,2019,Mediterranean and Black Sea,Mediterranean Sea,Mullus barbatus,Adult,Mullidae,Goatfishes,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,16.97,59.74,,132,Trawls,100,None,KOH,Visual,None,no,yes,,19.7,1.08,,,,yes,yes,,Blue,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Alepes djedaba,Adult,Carangidae,Shrimp scad,Alepes,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.3,14.48,,19.34,,6,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,50,2.6,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Cynoglossus lida,Adult,Cynoglossidae,Roughscale tonguesole,Cynoglossus,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,3.2,28,,85.98,,6,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,50,8.6,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Saurida tumbil,Adult,Synodontidae,Greater lizardfish,Saurida,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.4,30.14,,2158.61,,9,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,44.44,6.6,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Gerres filamentous,Adult,Gerreidae,Whipfin silver-biddy,Gerres,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3.3,21.76,,136.66,,13,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,30.77,5.5,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Nemipterus peronii,Adult,Nemipteridae,Notchedfin threadfin bream,Nemipterus,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3.7,15.79,,46.65,,8,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,25,1.5,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Upeneus vittatus,Adult,Mullidae,Yellowstriped goatfish,Uleneus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.6,17.5,,188.73,,10,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,40,4.4,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Carangoides malabaricus,Adult,Carangidae,Malabar trevally,Carangoides,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.9,26.88,,218.44,,4,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,75,22.4,,,,yes,no,Nylon,,no,
Goswami et al.,Marine,Garth,2020,Indian Ocean: Eastern,"Port Blair Bay, Andaman and Nicobar Islands",Carangoides malabaricus,Juvenile,Carangidae,Malabar trevally,Carangoides,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.9,6.69,,15.36,,6,Trawl,0.7,None,KOH,Visual,FTIR,yes,no,,33.33,0.8,,,,yes,no,Nylon,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Argyrosomus regius,Adult,Sciaenidae,Meagre,Argyrosomus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.3,,,,,51,Trawl,26,None,H2O2,Visual,FTIR,yes,yes,46,33,,,,,yes,,Copolymers/Alloys,Blue,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Caranx crysos,Adult,Carangidae,Blue runner,Caranx,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.1,,,,,1,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Chelon auratus,Adult,Mugilidae,Golden grey mullet,Chelon,Pelagic-neritic,Temperate,Least Concern,plants/detritus+animals,variable,2.8,,,,,39,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Dentex dentex,Adult,Sparidae,Common dentex,Dentex,Benthopelagic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,4.5,,,,,1,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Haileh,2017,Mediterranean and Black Sea,Turkey,Dentex gibbosus,Adult,Sparidae,Pink dentex,Dentex,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.1,,,,,14,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Lagocephalus spadiceus,Adult,Tetraodontidae,Half-smooth golden pufferfish,Lagocephalus,Demersal,Subtropical,Least Concern,,,3.7,,,,,1,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Lithognathus mormyrus,Adult,Sparidae,Sand steenbras,Lithognathus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,,,,,,46,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Mullus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,,,,207,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Mullus surmuletus,Adult,Mullidae,Surmullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,,,,51,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Nemipterus randalli,Adult,Nemipteridae,Randall's threadfin bream,Nemipterus,Demersal,Tropical,Not Evaluated,,,3.7,,,,,135,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Pagellus acarne,Adult,Sparidae,Axillary seabream,Pagellus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,,,,52,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Pagellus erythrinus,Adult,Sparidae,Common pandora,Pagellus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,,,,54,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Pagrus pagrus,Adult,Sparidae,Red porgy,Pagrus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.9,,,,,9,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Pelates quadrilineatus,Adult,Terapontidae,Fourlined terapon,Pelates,Reef-associated,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,,,,135,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Pomadasys incisus,Adult,Haemulidae,Bastard grunt,Pomadasys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,,,,29,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,,,,7,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Saurida undosquamis,Adult,Synodontidae,Brushtooth lizardfish,Saurida,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.5,,,,,99,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Sciaena umbra,Adult,Sciaenidae,Brown meagre,Sciaena,Demersal,Subtropical,Near Threatened,mainly animals,hunting macrofauna,3.8,,,,,1,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Scomber japonicus,Adult,Scombridae,Chub mackerel,Scomber,Pelagic-neritic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.4,,,,,7,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,particles <0.05 mm exlcuded 
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Serranus cabrilla,Adult,Serranidae,Comber,Serranus,Demersal,Deep-water,Least Concern,mainly animals,hunting macrofauna,3.4,,,,,6,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Siganus luridus,Adult,Siganidae,Dusky spinefoot,Siganus,Reef-associated,Subtropical,Not Evaluated,mainly plants/detritus,browsing on substrate,2,,,,,15,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Sparus aurata,Adult,Sparidae,Gilthead seabream,Sparus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.7,,,,,110,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Trachurus mediterraneus,Adult,Carangidae,Mediterranean horse mackerel,Trachurus,Pelagic-oceanic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,,,,98,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Trigla lucerna,Adult,Triglidae,Tub gurnard,Trigla,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4,,,,,24,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Umbrina cirrosa,Adult,Sciaenidae,Shi drum,Umbrina,Demersal,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.4,,,,,1,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Upeneus moluccensis,Adult,Mullidae,Goldband goatfish,Upeneus,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.6,,,,,18,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Guven et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Turkey,Upeneus pori,Adult,Mullidae,Por's goatfish,Upeneus,Demersal,Subtropical,Not Evaluated,mainly animals,,3.5,,,,,78,,26,None,H2O2,Visual,FTIR,yes,yes,46,,,,,,,,,,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Oreochromis mossambicus,Adult,Cichlidae,Mozambique tilapia,Oreochromis,Benthopelagic,Tropical,Near Threatened,mainly plants/detritus,browsing on substrate,2.2,,,,,10,Gillnet,500,NaCl,None,Visual,None,no,no,,70,4.9,4.7,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Scatophagus argus,Adult,Scatophagidae,Spotted scat,Scatophagus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3,,,,,35,Gillnet,500,NaCl,None,Visual,None,no,no,,97.14285714,5.89,4.2,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Siganus canaliculatus,Adult,Siganidae ,White-spotted spinefoot,Siganus,Reef-associated,Tropical,Least Concern,plants/detritus+animals,grazing on aquatic plants,2.8,,,,,30,Gillnet,500,NaCl,None,Visual,None,no,no,,100,18.06,10.8,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Crenimugil seheli,Adult,Mugilidae,Bluespot mullet,Crenimugil,Reef-associated,Tropical,Not Evaluated,plants/detritus+animals,browsing on substrate,2.3,,,,,12,Gillnet,500,NaCl,None,Visual,None,no,no,,100,9.17,11.9,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Mugil cephalus,Adult,Mugilidae,Flathead grey mullet,Mugil,Benthopelagic,Subtropical,Least Concern,mainly plants/detritus,variable,2.5,,,,,27,Gillnet,500,NaCl,None,Visual,None,no,no,,100,10.07,6.4,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Chanos chanos,Adult,Chanidae,Milkfish,Chanos,Benthopelagic,Tropical,Least Concern,mainly plants/detritus,grazing on aquatic plants,2.4,,,,,10,Gillnet,500,NaCl,None,Visual,None,no,no,,90,9.7,7.3,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Anodontostoma chacunda ,Adult,Clupeidae,Chacunda gizzard shad,Anodontostoma,Pelagic-neritic,Tropical,Least Concern,mainly animals,selective plankton feeding,2.8,,,,,10,Gillnet,500,NaCl,None,Visual,None,no,no,,100,14,7.9,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Sardinella fimbriata ,Adult,Clupeidae,Fringescale sardinella,Sardinella,Pelagic-neritic,Tropical,Least Concern,plants/detritus+animals,selective plankton feeding,2.7,,,,,10,Gillnet,500,NaCl,None,Visual,None,no,no,,100,20,8,,,yes,yes,,clear,no,
Hastuti et al.,Marine,Garth,2019,Pacific: Western Central,"Pantai Indah Kapuk coast, Jakarta",Abalistes stellaris ,Adult,Balistidae,Starry triggerfish,Abalistes,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,,,,30,Gillnet,500,NaCl,None,Visual,None,no,no,,100,16.33,11.1,,,yes,yes,,clear,no,
Halstead et al.,Marine,Wendy,2018,Pacific: Southwest,Sydney Harbour,Acanthopagrus australis,Adult,Sparidae,Yellowfin bream,Acanthopagrus,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,3.1,,11.1,40,,24,Beach Seine/Hook-Line Fishing,500,None,None,Visual,FTIR/Raman,yes,yes,0.3465,,0.6,,,,yes,,Acrylic/polyester blend,,no,
Halstead et al.,Marine,Wendy,2018,Pacific: Southwest,Sydney Harbour,Gerres subfasciatus,Adult,Gerreidae,Common silver belly,Gerres,Demersal,Subtropical,Least Concern,,,3.3,,6.8,9,,24,Beach Seine/Hook-Line Fishing,500,None,None,Visual,FTIR/Raman,yes,yes,0.3465,,0.1,,,,yes,,Acrylic/polyester blend,,no,
Halstead et al.,Marine,Wendy,2018,Pacific: Southwest,Sydney Harbour,Mugil cephalus,Adult,Mugilidae,Flathead grey mullet,Mugil,Benthopelagic,Subtropical,Least Concern,mainly plants/detritus,variable,2.5,,25.2,338,,45,Beach Seine/Hook-Line Fishing,500,None,None,Visual,FTIR/Raman,yes,yes,0.3465,,2.5,,,,yes,,Acrylic/polyester blend,,no,
Hermsen et al.,Marine,Hailey,2017,Atlantic: Northeast,North Sea,Clupea harengus,Adult,Clupeidae,Atlantic herring,Clupea,Benthopelagic,Temperate,Least Concern,mainly animals,selective plankton feeding,3.4,,,,,131,Trawl,20,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,yes,
Hermsen et al.,Marine,Hailey,2017,Atlantic: Northeast,North Sea,Limanda limanda,Adult,Pleuronectidae,Common dab,Limanda,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,3.4,,,,,100,Trawl,20,None,KOH,Visual,FTIR,yes,yes,0,0,0,,,,,,,,yes,
